Date,Close,Volume,Open,High,Low
2018-04-09,2300,N/A,2300,2300,2300
2018-04-06,2300,N/A,2300,2300,2300
2018-04-05,2300,N/A,2300,2300,2300
2018-04-04,2300,N/A,2300,2300,2300
2018-04-03,2300,N/A,2300,2300,2300
2018-04-02,2300,N/A,2300,2300,2300
2018-03-29,2260,N/A,2260,2260,2260
2018-03-28,2260,N/A,2260,2260,2260
2018-03-27,2260,N/A,2260,2260,2260
2018-03-26,2255,N/A,2255,2255,2255
2018-03-23,2255,N/A,2255,2255,2255
2018-03-22,2255,N/A,2255,2255,2255
2018-03-21,2255,N/A,2255,2255,2255
2018-03-20,2255,N/A,2255,2255,2255
2018-03-19,2255,N/A,2255,2255,2255
2018-03-16,2255,N/A,2255,2255,2255
2018-03-15,2255,N/A,2255,2255,2255
2018-03-14,2255,N/A,2255,2255,2255
2018-03-13,2255,N/A,2255,2255,2255
2018-03-12,2255,N/A,2255,2255,2255
2018-03-09,2255,N/A,2255,2255,2255
2018-03-08,2255,N/A,2255,2255,2255
2018-03-07,2255,N/A,2255,2255,2255
2018-03-06,2255,N/A,2255,2255,2255
2018-03-05,2255,N/A,2255,2255,2255
2018-03-02,2255,N/A,2255,2255,2255
2018-03-01,2255,N/A,2255,2255,2255
2018-02-28,2255,N/A,2255,2255,2255
2018-02-27,2255,N/A,2255,2255,2255
2018-02-26,2250,N/A,2250,2250,2250
2018-02-23,2250,N/A,2250,2250,2250
2018-02-22,2250,N/A,2250,2250,2250
2018-02-21,2250,N/A,2250,2250,2250
2018-02-20,2250,N/A,2250,2250,2250
2018-02-16,2250,N/A,2250,2250,2250
2018-02-15,2250,N/A,2250,2250,2250
2018-02-14,2250,N/A,2250,2250,2250
2018-02-13,2250,N/A,2250,2250,2250
2018-02-12,2250,N/A,2250,2250,2250
2018-02-09,2250,N/A,2250,2250,2250
2018-02-08,2250,N/A,2250,2250,2250
2018-02-07,2250,N/A,2250,2250,2250
2018-02-06,2250,N/A,2250,2250,2250
2018-02-05,2250,N/A,2250,2250,2250
2018-02-02,2250,N/A,2250,2250,2250
2018-02-01,2250,N/A,2250,2250,2250
2018-01-31,2250,N/A,2250,2250,2250
2018-01-30,2250,N/A,2250,2250,2250
2018-01-29,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-26,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-25,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-24,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-23,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-22,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-19,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-18,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-17,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-16,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-12,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-11,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-10,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-09,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-08,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-05,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-04,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-03,2244.5,N/A,2244.5,2244.5,2244.5
2018-01-02,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-29,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-28,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-27,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-26,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-22,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-21,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-20,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-19,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-18,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-15,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-14,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-13,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-12,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-11,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-08,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-07,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-06,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-05,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-04,2244.5,N/A,2244.5,2244.5,2244.5
2017-12-01,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-30,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-29,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-28,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-27,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-24,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-22,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-21,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-20,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-17,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-16,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-15,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-14,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-13,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-10,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-09,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-08,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-07,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-06,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-03,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-02,2244.5,N/A,2244.5,2244.5,2244.5
2017-11-01,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-31,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-30,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-27,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-26,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-25,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-24,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-23,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-20,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-19,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-18,2195,N/A,2195,2195,2195
2017-10-17,2216.75,N/A,2216.75,2216.75,2216.75
2017-10-16,2242.75,N/A,2242.75,2242.75,2242.75
2017-10-13,2242.75,N/A,2242.75,2242.75,2242.75
2017-10-12,2242.75,N/A,2242.75,2242.75,2242.75
2017-10-11,2242.75,N/A,2242.75,2242.75,2242.75
2017-10-10,2242.75,N/A,2242.75,2242.75,2242.75
2017-10-09,2242.75,N/A,2242.75,2242.75,2242.75
2017-10-06,2227.25,N/A,2227.25,2227.25,2227.25
2017-10-05,2246.75,N/A,2246.75,2246.75,2246.75
2017-10-04,2231.5,N/A,2231.5,2231.5,2231.5
2017-10-03,2194.75,N/A,2194.75,2194.75,2194.75
2017-10-02,2175,N/A,2175,2175,2175
2017-09-29,2192.75,N/A,2192.75,2192.75,2192.75
2017-09-28,2198,N/A,2198,2198,2198
2017-09-27,2194.75,N/A,2194.75,2194.75,2194.75
2017-09-26,2191.25,10,2191.25,2191.25,2191.25
2017-09-25,2213.5,N/A,2213.5,2213.5,2213.5
2017-09-22,2213.75,N/A,2213.75,2213.75,2213.75
2017-09-21,2227,10,2227,2227,2227
2017-09-20,2234.5,N/A,2234.5,2234.5,2234.5
2017-09-19,2184,N/A,2184,2184,2184
2017-09-18,2145,N/A,2145,2145,2145
2017-09-15,2150.25,10,2151,2151,2144
2017-09-14,2162.25,2,2160,2160,2156
2017-09-13,2162.25,10,2162.25,2162.25,2162.25
2017-09-12,2185.25,N/A,2185.25,2185.25,2185.25
2017-09-11,2182.25,N/A,2182.25,2182.25,2182.25
2017-09-08,2149.75,N/A,2149.75,2149.75,2149.75
2017-09-07,2163,N/A,2163,2163,2163
