Date,Close,Open,High,Low,Vol.,Change
2018-11-20,62.53,66.90,66.90,61.71,417.01,-6.38
2018-11-21,63.48,62.60,64.48,62.56,334.98,1.52
2018-11-22,62.60,63.60,63.81,62.27,164.11,-1.39
2018-11-23,58.80,62.58,62.79,58.41,279.67,-6.07
2018-11-26,60.48,58.98,61.13,58.60,267.38,2.86
2018-11-27,60.21,60.39,61.40,58.92,271.17,-0.45
2018-11-28,58.76,60.63,61.27,58.55,150.81,-2.41
2018-11-29,59.51,59.12,60.37,57.50,94.57,1.28
2018-11-30,58.71,59.28,59.93,58.25,27.02,-1.34
2018-12-03,61.69,59.98,62.60,59.85,294.77,5.08
2018-12-04,62.08,61.90,63.58,61.24,277.42,0.63
2018-12-05,61.56,61.35,63.29,60.80,256.24,-0.84
2018-12-06,60.06,61.36,61.97,58.36,399.99,-2.44
2018-12-07,61.67,60.25,63.73,59.10,423.08,2.68
2018-12-10,59.97,61.34,62.33,59.61,264.95,-2.76
2018-12-11,60.20,59.91,61.10,59.58,235.33,0.38
2018-12-12,60.15,60.67,61.43,59.98,246.92,-0.08
2018-12-13,61.45,60.29,62.02,59.33,252.40,2.16
2018-12-14,60.28,61.53,61.58,59.92,206.56,-1.90
2018-12-17,59.61,60.25,61.21,58.64,246.03,-1.11
2018-12-18,56.26,59.00,59.24,55.89,398.56,-5.62
2018-12-19,57.24,56.51,58.11,56.04,319.37,1.74
2018-12-20,54.35,56.49,56.75,54.28,299.45,-5.05
2018-12-21,53.82,54.97,55.33,52.79,226.34,-0.98
2018-12-24,50.47,53.49,54.66,50.36,76.22,-6.22
2018-12-26,54.47,50.84,55.29,49.93,77.00,7.93
2018-12-27,52.16,54.65,54.67,51.94,102.59,-4.24
2018-12-28,52.20,53.44,53.80,51.60,17.11,0.08
2018-12-31,53.80,53.00,54.82,52.66,109.11,3.07
2019-01-02,54.91,54.12,56.56,52.51,300.95,2.06
2019-01-03,55.95,54.29,56.30,53.93,278.36,1.89
2019-01-04,57.06,55.67,58.31,55.34,321.11,1.98
2019-01-07,57.33,57.41,58.93,57.26,296.58,0.47
2019-01-08,58.72,57.64,58.87,57.13,288.25,2.42
2019-01-09,61.44,59.15,61.69,59.05,329.05,4.63
2019-01-10,61.68,61.15,61.91,60.44,300.92,0.39
2019-01-11,60.48,61.19,62.49,60.08,292.79,-1.95
2019-01-14,58.99,60.62,61.04,58.90,263.28,-2.46
2019-01-15,60.64,59.36,60.86,59.11,234.36,2.80
2019-01-16,61.32,60.42,61.45,60.03,315.59,1.12
2019-01-17,61.18,61.05,61.54,60.04,278.42,-0.23
2019-01-18,62.70,61.33,63.00,61.32,288.91,2.48
2019-01-21,62.74,62.74,63.15,62.25,138.08,0.06
2019-01-22,61.50,62.59,62.71,60.57,283.22,-1.98
2019-01-23,61.14,61.37,62.33,60.21,308.46,-0.59
2019-01-24,61.09,61.02,61.51,60.41,274.48,-0.08
2019-01-25,61.64,61.13,61.92,60.70,218.03,0.90
2019-01-28,59.93,61.49,61.69,59.49,214.19,-2.77
2019-01-29,61.32,59.87,61.79,59.75,142.13,2.32
2019-01-30,61.65,61.26,62.67,61.04,90.93,0.54
2019-01-31,61.89,61.97,62.32,61.57,20.63,0.39
2019-02-01,62.75,61.06,62.97,60.46,267.22,1.39
2019-02-04,62.51,62.83,63.63,61.28,297.43,-0.38
2019-02-05,61.98,62.64,63.02,61.72,215.36,-0.85
2019-02-06,62.69,62.06,62.80,61.05,225.57,1.15
2019-02-07,61.63,62.50,62.91,60.60,286.17,-1.69
2019-02-08,62.10,61.66,62.36,61.04,254.95,0.76
2019-02-11,61.51,62.11,62.34,60.90,280.96,-0.95
2019-02-12,62.42,61.59,63.34,61.59,278.80,1.48
2019-02-13,63.61,62.70,63.98,62.69,269.68,1.91
2019-02-14,64.57,63.69,64.81,63.25,287.45,1.51
2019-02-15,66.25,64.86,66.39,64.42,290.55,2.60
2019-02-18,66.50,66.39,66.83,65.90,175.24,0.38
2019-02-19,66.45,66.44,66.65,65.58,246.65,-0.08
2019-02-20,67.08,66.30,67.38,65.63,276.48,0.95
2019-02-21,67.07,67.05,67.31,66.69,245.86,-0.01
2019-02-22,67.12,66.96,67.73,66.87,177.62,0.07
2019-02-25,64.76,66.97,67.47,64.54,220.94,-3.52
2019-02-26,65.21,64.79,65.74,64.32,127.60,0.69
2019-02-27,66.39,65.64,66.70,65.27,102.14,1.81
2019-02-28,66.03,66.38,66.38,65.67,19.67,-0.54
2019-03-01,65.07,66.48,67.14,64.59,297.19,-1.45
2019-03-04,65.67,64.97,66.34,64.93,233.54,0.92
2019-03-05,65.86,65.46,66.23,65.04,216.39,0.29
2019-03-06,65.99,65.49,66.18,65.22,283.20,0.20
2019-03-07,66.30,65.88,67.00,65.75,276.24,0.47
2019-03-08,65.74,66.08,66.09,64.02,316.39,-0.84
2019-03-11,66.58,65.76,66.75,65.63,247.81,1.28
2019-03-12,66.67,66.70,67.39,66.34,252.13,0.14
2019-03-13,67.55,66.91,67.76,66.70,243.20,1.32
2019-03-14,67.23,67.65,68.14,67.03,235.99,-0.47
2019-03-15,67.16,67.18,67.71,66.13,254.32,-0.10
2019-03-18,67.54,67.14,67.69,66.69,208.53,0.57
2019-03-19,67.61,67.49,68.20,67.13,234.14,0.10
2019-03-20,68.50,67.66,68.57,67.19,235.49,1.32
2019-03-21,67.86,68.38,68.69,67.59,303.23,-0.93
2019-03-22,67.03,67.76,67.98,66.20,284.52,-1.22
2019-03-25,67.21,67.00,67.65,66.36,216.76,0.27
2019-03-26,67.97,67.36,68.23,67.24,197.54,1.13
2019-03-27,67.83,67.90,68.35,67.19,148.15,-0.21
2019-03-28,67.82,67.75,68.00,66.54,131.64,-0.01
2019-03-29,68.39,68.01,68.89,67.81,20.62,0.84
2019-04-01,69.01,67.58,69.22,67.58,320.77,0.91
2019-04-02,69.37,69.22,69.58,68.69,299.30,0.52
2019-04-03,69.31,69.47,69.96,68.80,341.50,-0.09
2019-04-04,69.40,69.44,70.03,68.87,281.88,0.13
2019-04-05,70.34,69.13,70.48,68.92,263.87,1.35
2019-04-08,71.10,70.56,71.19,70.43,288.13,1.08
2019-04-09,70.61,71.19,71.34,70.30,267.49,-0.69
2019-04-10,71.73,70.82,71.78,70.57,288.89,1.59
2019-04-11,70.83,71.56,71.68,70.57,278.09,-1.25
2019-04-12,71.55,70.95,71.87,70.90,237.22,1.02
2019-04-15,71.18,71.55,71.60,70.78,219.15,-0.52
2019-04-16,71.72,71.21,71.95,70.74,273.90,0.76
2019-04-17,71.62,71.83,72.27,71.45,276.61,-0.14
2019-04-18,71.97,71.63,72.04,71.20,259.04,0.49
2019-04-22,74.04,71.93,74.52,71.86,305.17,2.88
2019-04-23,74.51,74.38,74.73,73.99,308.99,0.63
2019-04-24,74.57,74.27,74.73,74.02,276.67,0.08
2019-04-25,74.35,74.46,75.60,74.00,309.21,-0.30
2019-04-26,72.15,74.20,74.42,71.30,222.89,-2.96
2019-04-29,72.04,71.56,72.50,71.06,147.41,-0.15
2019-04-30,72.80,71.94,73.27,71.73,25.34,1.05
2019-05-01,72.18,71.73,72.36,71.30,230.80,-0.85
2019-05-02,70.75,72.00,72.22,69.68,346.63,-1.98
2019-05-03,70.85,70.48,71.54,69.95,249.81,0.14
2019-05-06,71.24,70.59,71.79,68.79,227.02,0.55
2019-05-07,69.88,71.15,71.33,69.38,332.07,-1.91
2019-05-08,70.37,69.88,70.70,69.33,295.44,0.70
2019-05-09,70.39,70.23,70.65,69.40,328.74,0.03
2019-05-10,70.62,70.45,71.23,70.18,300.46,0.33
2019-05-13,70.23,70.83,72.58,69.72,373.47,-0.55
2019-05-14,71.24,70.02,71.65,69.93,299.77,1.44
2019-05-15,71.77,70.90,72.25,70.42,272.44,0.74
2019-05-16,72.62,72.05,73.36,71.82,326.44,1.18
2019-05-17,72.21,72.82,73.23,71.79,255.53,-0.56
2019-05-20,71.97,72.50,73.40,71.60,301.98,-0.33
2019-05-21,72.18,72.15,72.52,71.63,303.74,0.29
2019-05-22,70.99,71.91,72.04,70.42,371.52,-1.65
2019-05-23,67.76,70.86,70.97,67.02,434.54,-4.55
2019-05-24,68.69,67.99,69.30,67.33,292.09,1.37
2019-05-27,70.11,69.15,70.23,68.53,72.18,2.07
2019-05-28,70.11,69.99,70.59,69.58,238.88,0.00
2019-05-29,69.45,70.10,70.10,68.08,148.48,-0.94
2019-05-30,66.87,69.68,69.96,66.31,105.27,-3.71
