Date,Week day,Close,1W,1M,2M,3M,6M,12M
2014-08-13,Wed,-0.00571,0.02286,0.08143,0.12786,0.16286,0.26357,0.43
2014-08-12,Tue,-0.00714,0.02143,0.08429,0.12786,0.16357,0.26357,0.42929
2014-08-11,Mon,-0.00643,0.01929,0.08429,0.13214,0.16643,0.26643,0.43214
2014-08-08,Fri,-0.005,0.01929,0.08571,0.13286,0.16786,0.26643,0.42857
2014-08-07,Thu,-0.005,0.02214,0.08571,0.13286,0.16786,0.265,0.43286
2014-08-06,Wed,-0.00429,0.02,0.08786,0.13357,0.16857,0.26643,0.43571
2014-08-05,Tue,0.00071,0.02071,0.08857,0.135,0.17143,0.26714,0.44071
2014-08-04,Mon,0.00071,0.02357,0.08929,0.13571,0.17286,0.26714,0.44286
2014-08-01,Fri,0.00071,0.02786,0.08929,0.13571,0.17286,0.26571,0.44357
2014-07-31,Thu,0.12071,0.03143,0.08857,0.14,0.17714,0.26714,0.445
2014-07-30,Wed,0.00071,0.03143,0.09,0.14,0.17571,0.26714,0.44429
2014-07-29,Tue,0.00143,0.04143,0.08929,0.14,0.18071,0.26429,0.44429
2014-07-28,Mon,0.00286,0.04214,0.09,0.13929,0.17643,0.26286,0.44357
2014-07-25,Fri,0.005,0.04786,0.09143,0.14,0.17786,0.26357,0.44357
2014-07-24,Thu,0.00643,0.04786,0.09143,0.14,0.17857,0.26429,0.44357
2014-07-23,Wed,0.00429,0.03786,0.08929,0.13857,0.17429,0.26429,0.43929
2014-07-22,Tue,0,0.02571,0.08571,0.13571,0.17429,0.26286,0.43857
2014-07-21,Mon,0,0.02571,0.085,0.13357,0.17143,0.26,0.43357
2014-07-18,Fri,0,0.02429,0.08429,0.13357,0.17071,0.26071,0.43286
2014-07-17,Thu,0,0.02429,0.08429,0.13357,0.17214,0.25786,0.43286
2014-07-16,Wed,0,0.02429,0.08357,0.13286,0.17143,0.26286,0.43429
2014-07-15,Tue,0,0.02429,0.08286,0.13286,0.17143,0.265,0.43429
2014-07-14,Mon,0,0.02571,0.08429,0.13214,0.17143,0.26429,0.43429
2014-07-11,Fri,0,0.02571,0.08429,0.13214,0.17286,0.265,0.43357
2014-07-10,Thu,0,0.02571,0.08286,0.13214,0.17143,0.26571,0.43357
2014-07-09,Wed,0,0.02571,0.08429,0.13286,0.17143,0.26286,0.43457
2014-07-08,Tue,0,0.02571,0.08357,0.13286,0.17214,0.265,0.43457
2014-07-07,Mon,0,0.02857,0.08357,0.13357,0.17214,0.265,0.43457
2014-07-04,Fri,0,0.03,0.08429,0.13357,0.17429,0.265,0.43457
2014-07-03,Thu,0,0.02929,0.08286,0.13643,0.17714,0.26714,0.43857
2014-07-02,Wed,0,0.03071,0.08286,0.135,0.17571,0.26429,0.43886
2014-07-01,Tue,0,0.03286,0.08286,0.135,0.17571,0.27071,0.43886
